scope,arm,metric,value,numerator,denominator,wilson_low,wilson_high,jeffreys_low,jeffreys_high,case_cluster_bootstrap_low,case_cluster_bootstrap_high
pooled_all_blocks,A,final_reported_asr,1.0,144,144,0.9740163628569635,1.0,0.9827369960301364,0.9999965959585084,1.0,1.0
pooled_all_blocks,A,ai_suspected_only,0.4652777777777778,67,144,0.3857722978124188,0.5465876769891811,0.38517725262619934,0.5467585276459801,0.2777777777777778,0.6533333333333333
pooled_all_blocks,A,confirmed_e3_plus_only,0.0,0,144,0.0,0.025983637143036746,3.404041491547518e-06,0.01726300396986358,0.0,0.0
pooled_all_blocks,A,strong_evidence_asr,0.0,0,144,0.0,0.025983637143036746,3.404041491547518e-06,0.01726300396986358,0.0,0.0
pooled_all_blocks,A,attack_fp_rate,1.0,72,72,0.9493488274035422,1.0,0.9658306006343764,0.9999932037377226,1.0,1.0
pooled_all_blocks,A,error_rate,0.5,72,144,0.4194027960425476,0.5805972039574524,0.4190156190676219,0.580984380932378,0.29706638616175784,0.6984126984126984
pooled_all_blocks,A,false_positive_rate,1.0,72,72,0.9493488274035422,1.0,0.9658306006343764,0.9999932037377226,1.0,1.0
pooled_all_blocks,A,false_negative_rate,0.0,0,72,0.0,0.05065117259645781,6.796262277412169e-06,0.034169399365623555,0.0,0.0
pooled_all_blocks,A,correct_overturn_rate,,0,0,,,,,,
pooled_all_blocks,A,correct_upgrade_rate,1.0,5,5,0.5655175352168251,1.0,0.6206228577009606,0.9999065793999604,1.0,1.0
pooled_all_blocks,A,confirmed_correct_upgrade_rate,0.0,0,5,0.0,0.43448246478317476,9.342060003954474e-05,0.37937714229903935,0.0,0.0
pooled_all_blocks,A,introduced_error_rate,0.5179856115107914,72,139,0.43555788224628234,0.5994459607645651,0.4352649086586117,0.5999659553400746,0.3237410071942446,0.7111437908496727
pooled_all_blocks,A,overturn_rate,0.0,0,144,0.0,0.025983637143036746,3.404041491547518e-06,0.01726300396986358,0.0,0.0
